page_id	text	label	Pattern Category
ext_20051	Enjoying the free version? Upgrade to Fitbit Premium today. [Upgrade] [Remind Me Later]	1	Nagging
ext_20052	Add Google Drive to your home screen for one-tap checkout. [Dismiss] [Add Now]	1	Nagging
ext_20053	Allow Myntra to send you order updates and offers? [Skip] [Allow]	1	Nagging
ext_20054	We noticed location is off. Enable it to find Fitbit stores near you. [Close] [Enable]	1	Nagging
ext_20055	Enjoying the free version? Upgrade to JioGames Premium today. [Upgrade] [Remind Me Later]	1	Nagging
ext_20056	Don't miss special deals! Turn on email alerts from Meesho. [Maybe later] [Subscribe]	1	Nagging
ext_20057	Enjoying the free version? Upgrade to AJIO Premium today. [Upgrade] [Remind Me Later]	1	Nagging
ext_20058	Connect your contacts to find friends already on Croma. [Not now] [Connect]	1	Nagging
ext_20059	Allow Meesho to send you order updates and offers? [Skip] [Allow]	1	Nagging
ext_20060	Upgrade to Myntra VIP for free shipping on every order. [No thanks] [Learn More]	1	Nagging
ext_20061	Allow MakeMyTrip to send you order updates and offers? [Skip] [Allow]	1	Nagging
ext_20062	Add Tata CLiQ to your home screen for one-tap checkout. [Dismiss] [Add Now]	1	Nagging
ext_20063	Get the best experience — download the Hostinger app! [No, thanks] [Get App]	1	Nagging
ext_20064	Upgrade to AJIO VIP for free shipping on every order. [No thanks] [Learn More]	1	Nagging
ext_20065	Don't miss special deals! Turn on email alerts from Tata CLiQ. [Maybe later] [Subscribe]	1	Nagging
ext_20066	Join Google Drive Rewards now and start earning points instantly. [Later] [Join]	1	Nagging
ext_20067	Add AJIO to your home screen for one-tap checkout. [Dismiss] [Add Now]	1	Nagging
ext_20068	Rate Hostinger 5 stars to keep the app free. [Not now] [Rate Now]	1	Nagging
ext_20069	Rate JioGames 5 stars to keep the app free. [Not now] [Rate Now]	1	Nagging
ext_20070	Add JioGames to your home screen for one-tap checkout. [Dismiss] [Add Now]	1	Nagging
ext_20071	Enable push notifications to never miss a deal on phone case. [Maybe Later] [Allow]	1	Nagging
ext_20072	Get the best experience — download the Amazon app! [No, thanks] [Get App]	1	Nagging
ext_20073	Turn on background refresh for live price drops on your smartwatch. [Later] [Enable]	1	Nagging
ext_20074	Get the best experience — download the BigBasket app! [No, thanks] [Get App]	1	Nagging
ext_20075	Rate Meesho 5 stars to keep the app free. [Not now] [Rate Now]	1	Nagging
ext_20076	Connect your contacts to find friends already on Paytm Money. [Not now] [Connect]	1	Nagging
ext_20077	Connect your contacts to find friends already on Snapdeal. [Not now] [Connect]	1	Nagging
ext_20078	Enjoying the free version? Upgrade to BigBasket Premium today. [Upgrade] [Remind Me Later]	1	Nagging
ext_20079	Subscribe to the JioGames newsletter for 25% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20080	Upgrade to Amazon Prime Video VIP for free shipping on every order. [No thanks] [Learn More]	1	Nagging
ext_20081	Join Hostinger Rewards now and start earning points instantly. [Later] [Join]	1	Nagging
ext_20082	Upgrade to Amazon VIP for free shipping on every order. [No thanks] [Learn More]	1	Nagging
ext_20083	Don't miss special deals! Turn on email alerts from JioGames. [Maybe later] [Subscribe]	1	Nagging
ext_20084	Don't miss special deals! Turn on email alerts from IndiaMART. [Maybe later] [Subscribe]	1	Nagging
ext_20085	Get the best experience — download the Reliance Smart Bazaar app! [No, thanks] [Get App]	1	Nagging
ext_20086	Allow Fitbit to send you order updates and offers? [Skip] [Allow]	1	Nagging
ext_20087	Enable push notifications to never miss a deal on smartwatch. [Maybe Later] [Allow]	1	Nagging
ext_20088	Join Flipkart Rewards now and start earning points instantly. [Later] [Join]	1	Nagging
ext_20089	Get the best experience — download the JioGames app! [No, thanks] [Get App]	1	Nagging
ext_20090	Turn on background refresh for live price drops on your coffee maker. [Later] [Enable]	1	Nagging
ext_20091	Still thinking about that wallet? Get reminders before it sells out. [No] [Notify Me]	1	Nagging
ext_20092	Turn on background refresh for live price drops on your jacket. [Later] [Enable]	1	Nagging
ext_20093	Join BigBasket Rewards now and start earning points instantly. [Later] [Join]	1	Nagging
ext_20094	Turn on background refresh for live price drops on your backpack. [Later] [Enable]	1	Nagging
ext_20095	Get the best experience — download the Croma app! [No, thanks] [Get App]	1	Nagging
ext_20096	We noticed location is off. Enable it to find Croma stores near you. [Close] [Enable]	1	Nagging
ext_20097	Enable push notifications to never miss a deal on water bottle. [Maybe Later] [Allow]	1	Nagging
ext_20098	Join Reliance Smart Bazaar Rewards now and start earning points instantly. [Later] [Join]	1	Nagging
ext_20099	Connect your contacts to find friends already on IndiaMART. [Not now] [Connect]	1	Nagging
ext_20100	Turn on background refresh for live price drops on your office chair. [Later] [Enable]	1	Nagging
ext_20101	Turn on background refresh for live price drops on your air fryer. [Later] [Enable]	1	Nagging
ext_20102	Enjoying the free version? Upgrade to Croma Premium today. [Upgrade] [Remind Me Later]	1	Nagging
ext_20103	Don't miss special deals! Turn on email alerts from Fitbit. [Maybe later] [Subscribe]	1	Nagging
ext_20104	Don't miss special deals! Turn on email alerts from Paytm Money. [Maybe later] [Subscribe]	1	Nagging
ext_20105	Get the best experience — download the Flipkart app! [No, thanks] [Get App]	1	Nagging
ext_20106	Still thinking about that sneakers? Get reminders before it sells out. [No] [Notify Me]	1	Nagging
ext_20107	Don't miss special deals! Turn on email alerts from BigBasket. [Maybe later] [Subscribe]	1	Nagging
ext_20108	Turn on background refresh for live price drops on your water bottle. [Later] [Enable]	1	Nagging
ext_20109	Enable push notifications to never miss a deal on blender. [Maybe Later] [Allow]	1	Nagging
ext_20110	Upgrade to Tata CLiQ VIP for free shipping on every order. [No thanks] [Learn More]	1	Nagging
ext_20111	Connect your contacts to find friends already on MakeMyTrip. [Not now] [Connect]	1	Nagging
ext_20112	Subscribe to the Croma newsletter for 25% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20113	Subscribe to the Amazon Prime Video newsletter for 5% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20114	Allow Paytm Money to send you order updates and offers? [Skip] [Allow]	1	Nagging
ext_20115	Enable push notifications to never miss a deal on headphones. [Maybe Later] [Allow]	1	Nagging
ext_20116	Allow BigBasket to send you order updates and offers? [Skip] [Allow]	1	Nagging
ext_20117	Enjoying the free version? Upgrade to Flipkart Premium today. [Upgrade] [Remind Me Later]	1	Nagging
ext_20118	Add Meesho to your home screen for one-tap checkout. [Dismiss] [Add Now]	1	Nagging
ext_20119	Rate AJIO 5 stars to keep the app free. [Not now] [Rate Now]	1	Nagging
ext_20120	Allow Flipkart to send you order updates and offers? [Skip] [Allow]	1	Nagging
ext_20121	Upgrade to JioGames VIP for free shipping on every order. [No thanks] [Learn More]	1	Nagging
ext_20122	Turn on background refresh for live price drops on your phone case. [Later] [Enable]	1	Nagging
ext_20123	Upgrade to Snapdeal VIP for free shipping on every order. [No thanks] [Learn More]	1	Nagging
ext_20124	Still thinking about that desk lamp? Get reminders before it sells out. [No] [Notify Me]	1	Nagging
ext_20125	Don't miss special deals! Turn on email alerts from Reliance Smart Bazaar. [Maybe later] [Subscribe]	1	Nagging
ext_20126	Connect your contacts to find friends already on Meesho. [Not now] [Connect]	1	Nagging
ext_20127	Enable push notifications to never miss a deal on air fryer. [Maybe Later] [Allow]	1	Nagging
ext_20128	Allow IndiaMART to send you order updates and offers? [Skip] [Allow]	1	Nagging
ext_20129	Get the best experience — download the Paytm Money app! [No, thanks] [Get App]	1	Nagging
ext_20130	We noticed location is off. Enable it to find Hostinger stores near you. [Close] [Enable]	1	Nagging
ext_20131	Rate Paytm Money 5 stars to keep the app free. [Not now] [Rate Now]	1	Nagging
ext_20132	Allow JioGames to send you order updates and offers? [Skip] [Allow]	1	Nagging
ext_20133	Enable push notifications to never miss a deal on desk lamp. [Maybe Later] [Allow]	1	Nagging
ext_20134	Get the best experience — download the IndiaMART app! [No, thanks] [Get App]	1	Nagging
ext_20135	Subscribe to the Amazon Prime Video newsletter for 15% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20136	Add BigBasket to your home screen for one-tap checkout. [Dismiss] [Add Now]	1	Nagging
ext_20137	Subscribe to the Flipkart newsletter for 5% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20138	Still thinking about that bluetooth speaker? Get reminders before it sells out. [No] [Notify Me]	1	Nagging
ext_20139	Rate Google Drive 5 stars to keep the app free. [Not now] [Rate Now]	1	Nagging
ext_20140	We noticed location is off. Enable it to find Snapdeal stores near you. [Close] [Enable]	1	Nagging
ext_20141	Add Croma to your home screen for one-tap checkout. [Dismiss] [Add Now]	1	Nagging
ext_20142	Join Snapdeal Rewards now and start earning points instantly. [Later] [Join]	1	Nagging
ext_20143	Add Flipkart to your home screen for one-tap checkout. [Dismiss] [Add Now]	1	Nagging
ext_20144	Subscribe to the Amazon newsletter for 5% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20145	We noticed location is off. Enable it to find Paytm Money stores near you. [Close] [Enable]	1	Nagging
ext_20146	Rate Croma 5 stars to keep the app free. [Not now] [Rate Now]	1	Nagging
ext_20147	Allow Snapdeal to send you order updates and offers? [Skip] [Allow]	1	Nagging
ext_20148	Turn on background refresh for live price drops on your blender. [Later] [Enable]	1	Nagging
ext_20149	Enjoying the free version? Upgrade to Reliance Smart Bazaar Premium today. [Upgrade] [Remind Me Later]	1	Nagging
ext_20150	Connect your contacts to find friends already on Fitbit. [Not now] [Connect]	1	Nagging
ext_20151	Subscribe to the AJIO newsletter for 5% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20152	Upgrade to Flipkart VIP for free shipping on every order. [No thanks] [Learn More]	1	Nagging
ext_20153	Rate BigBasket 5 stars to keep the app free. [Not now] [Rate Now]	1	Nagging
ext_20154	Rate MakeMyTrip 5 stars to keep the app free. [Not now] [Rate Now]	1	Nagging
ext_20155	Rate Fitbit 5 stars to keep the app free. [Not now] [Rate Now]	1	Nagging
ext_20156	Still thinking about that office chair? Get reminders before it sells out. [No] [Notify Me]	1	Nagging
ext_20157	Upgrade to Reliance Smart Bazaar VIP for free shipping on every order. [No thanks] [Learn More]	1	Nagging
ext_20158	Subscribe to the Meesho newsletter for 15% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20159	We noticed location is off. Enable it to find JioGames stores near you. [Close] [Enable]	1	Nagging
ext_20160	Upgrade to Paytm Money VIP for free shipping on every order. [No thanks] [Learn More]	1	Nagging
ext_20161	We noticed location is off. Enable it to find Tata CLiQ stores near you. [Close] [Enable]	1	Nagging
ext_20162	Get the best experience — download the Google Drive app! [No, thanks] [Get App]	1	Nagging
ext_20163	Enable push notifications to never miss a deal on backpack. [Maybe Later] [Allow]	1	Nagging
ext_20164	We noticed location is off. Enable it to find Reliance Smart Bazaar stores near you. [Close] [Enable]	1	Nagging
ext_20165	Get the best experience — download the Myntra app! [No, thanks] [Get App]	1	Nagging
ext_20166	Subscribe to the Flipkart newsletter for 20% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20167	Enable push notifications to never miss a deal on office chair. [Maybe Later] [Allow]	1	Nagging
ext_20168	We noticed location is off. Enable it to find Myntra stores near you. [Close] [Enable]	1	Nagging
ext_20169	Add Snapdeal to your home screen for one-tap checkout. [Dismiss] [Add Now]	1	Nagging
ext_20170	Turn on background refresh for live price drops on your bluetooth speaker. [Later] [Enable]	1	Nagging
ext_20171	Still thinking about that water bottle? Get reminders before it sells out. [No] [Notify Me]	1	Nagging
ext_20172	Still thinking about that blender? Get reminders before it sells out. [No] [Notify Me]	1	Nagging
ext_20173	Allow Hostinger to send you order updates and offers? [Skip] [Allow]	1	Nagging
ext_20174	Rate Tata CLiQ 5 stars to keep the app free. [Not now] [Rate Now]	1	Nagging
ext_20175	Subscribe to the Hostinger newsletter for 10% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20176	Don't miss special deals! Turn on email alerts from MakeMyTrip. [Maybe later] [Subscribe]	1	Nagging
ext_20177	Don't miss special deals! Turn on email alerts from Amazon Prime Video. [Maybe later] [Subscribe]	1	Nagging
ext_20178	We noticed location is off. Enable it to find Meesho stores near you. [Close] [Enable]	1	Nagging
ext_20179	Enjoying the free version? Upgrade to Tata CLiQ Premium today. [Upgrade] [Remind Me Later]	1	Nagging
ext_20180	Don't miss special deals! Turn on email alerts from Croma. [Maybe later] [Subscribe]	1	Nagging
ext_20181	Join Myntra Rewards now and start earning points instantly. [Later] [Join]	1	Nagging
ext_20182	Don't miss special deals! Turn on email alerts from Myntra. [Maybe later] [Subscribe]	1	Nagging
ext_20183	Connect your contacts to find friends already on JioGames. [Not now] [Connect]	1	Nagging
ext_20184	Don't miss special deals! Turn on email alerts from Flipkart. [Maybe later] [Subscribe]	1	Nagging
ext_20185	Don't miss special deals! Turn on email alerts from Snapdeal. [Maybe later] [Subscribe]	1	Nagging
ext_20186	Don't miss special deals! Turn on email alerts from AJIO. [Maybe later] [Subscribe]	1	Nagging
ext_20187	Subscribe to the MakeMyTrip newsletter for 5% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20188	Enjoying the free version? Upgrade to Snapdeal Premium today. [Upgrade] [Remind Me Later]	1	Nagging
ext_20189	Join Amazon Prime Video Rewards now and start earning points instantly. [Later] [Join]	1	Nagging
ext_20190	Add MakeMyTrip to your home screen for one-tap checkout. [Dismiss] [Add Now]	1	Nagging
ext_20191	Rate Myntra 5 stars to keep the app free. [Not now] [Rate Now]	1	Nagging
ext_20192	Connect your contacts to find friends already on Myntra. [Not now] [Connect]	1	Nagging
ext_20193	Add Paytm Money to your home screen for one-tap checkout. [Dismiss] [Add Now]	1	Nagging
ext_20194	Subscribe to the Croma newsletter for 20% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20195	Join AJIO Rewards now and start earning points instantly. [Later] [Join]	1	Nagging
ext_20196	Enjoying the free version? Upgrade to Paytm Money Premium today. [Upgrade] [Remind Me Later]	1	Nagging
ext_20197	Allow Tata CLiQ to send you order updates and offers? [Skip] [Allow]	1	Nagging
ext_20198	Subscribe to the Myntra newsletter for 15% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20199	Subscribe to the Croma newsletter for 15% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20200	Enable push notifications to never miss a deal on sunglasses. [Maybe Later] [Allow]	1	Nagging
ext_20201	Connect your contacts to find friends already on Amazon. [Not now] [Connect]	1	Nagging
ext_20202	Subscribe to the IndiaMART newsletter for 25% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20203	Enable push notifications to never miss a deal on bluetooth speaker. [Maybe Later] [Allow]	1	Nagging
ext_20204	We noticed location is off. Enable it to find MakeMyTrip stores near you. [Close] [Enable]	1	Nagging
ext_20205	Join JioGames Rewards now and start earning points instantly. [Later] [Join]	1	Nagging
ext_20206	Connect your contacts to find friends already on BigBasket. [Not now] [Connect]	1	Nagging
ext_20207	Subscribe to the MakeMyTrip newsletter for 10% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20208	Turn on background refresh for live price drops on your sunglasses. [Later] [Enable]	1	Nagging
ext_20209	Connect your contacts to find friends already on Google Drive. [Not now] [Connect]	1	Nagging
ext_20210	Join Fitbit Rewards now and start earning points instantly. [Later] [Join]	1	Nagging
ext_20211	Subscribe to the Amazon newsletter for 20% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20212	Subscribe to the Hostinger newsletter for 15% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20213	We noticed location is off. Enable it to find IndiaMART stores near you. [Close] [Enable]	1	Nagging
ext_20214	Subscribe to the IndiaMART newsletter for 10% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20215	Subscribe to the Fitbit newsletter for 15% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20216	Enjoying the free version? Upgrade to Hostinger Premium today. [Upgrade] [Remind Me Later]	1	Nagging
ext_20217	Enable push notifications to never miss a deal on jacket. [Maybe Later] [Allow]	1	Nagging
ext_20218	Get the best experience — download the Tata CLiQ app! [No, thanks] [Get App]	1	Nagging
ext_20219	Subscribe to the BigBasket newsletter for 5% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20220	Upgrade to BigBasket VIP for free shipping on every order. [No thanks] [Learn More]	1	Nagging
ext_20221	Don't miss special deals! Turn on email alerts from Hostinger. [Maybe later] [Subscribe]	1	Nagging
ext_20222	Subscribe to the Flipkart newsletter for 25% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20223	Join IndiaMART Rewards now and start earning points instantly. [Later] [Join]	1	Nagging
ext_20224	Connect your contacts to find friends already on Amazon Prime Video. [Not now] [Connect]	1	Nagging
ext_20225	Subscribe to the Meesho newsletter for 10% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20226	Subscribe to the Flipkart newsletter for 10% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20227	Subscribe to the Hostinger newsletter for 20% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20228	Subscribe to the Amazon Prime Video newsletter for 20% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20229	Subscribe to the Snapdeal newsletter for 5% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20230	Still thinking about that air fryer? Get reminders before it sells out. [No] [Notify Me]	1	Nagging
ext_20231	Subscribe to the AJIO newsletter for 25% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20232	Subscribe to the Myntra newsletter for 25% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20233	Subscribe to the Reliance Smart Bazaar newsletter for 5% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20234	Subscribe to the MakeMyTrip newsletter for 20% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20235	Subscribe to the Paytm Money newsletter for 5% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20236	Still thinking about that jacket? Get reminders before it sells out. [No] [Notify Me]	1	Nagging
ext_20237	Enjoying the free version? Upgrade to Myntra Premium today. [Upgrade] [Remind Me Later]	1	Nagging
ext_20238	Subscribe to the Tata CLiQ newsletter for 15% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20239	Rate Snapdeal 5 stars to keep the app free. [Not now] [Rate Now]	1	Nagging
ext_20240	Rate Reliance Smart Bazaar 5 stars to keep the app free. [Not now] [Rate Now]	1	Nagging
ext_20241	Turn on background refresh for live price drops on your desk lamp. [Later] [Enable]	1	Nagging
ext_20242	We noticed location is off. Enable it to find Flipkart stores near you. [Close] [Enable]	1	Nagging
ext_20243	Subscribe to the Amazon newsletter for 15% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20244	Subscribe to the Paytm Money newsletter for 10% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20245	Get the best experience — download the MakeMyTrip app! [No, thanks] [Get App]	1	Nagging
ext_20246	Subscribe to the Tata CLiQ newsletter for 25% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20247	Allow Amazon to send you order updates and offers? [Skip] [Allow]	1	Nagging
ext_20248	Still thinking about that headphones? Get reminders before it sells out. [No] [Notify Me]	1	Nagging
ext_20249	Subscribe to the BigBasket newsletter for 15% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20250	Get the best experience — download the Snapdeal app! [No, thanks] [Get App]	1	Nagging
ext_20251	Subscribe to the Flipkart newsletter for 15% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20252	Add Amazon to your home screen for one-tap checkout. [Dismiss] [Add Now]	1	Nagging
ext_20253	Subscribe to the Snapdeal newsletter for 10% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20254	Enable push notifications to never miss a deal on wallet. [Maybe Later] [Allow]	1	Nagging
ext_20255	Subscribe to the Paytm Money newsletter for 15% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20256	Subscribe to the MakeMyTrip newsletter for 25% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20257	Upgrade to Croma VIP for free shipping on every order. [No thanks] [Learn More]	1	Nagging
ext_20258	Add Reliance Smart Bazaar to your home screen for one-tap checkout. [Dismiss] [Add Now]	1	Nagging
ext_20259	Join Tata CLiQ Rewards now and start earning points instantly. [Later] [Join]	1	Nagging
ext_20260	We noticed location is off. Enable it to find AJIO stores near you. [Close] [Enable]	1	Nagging
ext_20261	Subscribe to the Amazon Prime Video newsletter for 10% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20262	Subscribe to the IndiaMART newsletter for 20% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20263	Upgrade to Hostinger VIP for free shipping on every order. [No thanks] [Learn More]	1	Nagging
ext_20264	We noticed location is off. Enable it to find BigBasket stores near you. [Close] [Enable]	1	Nagging
ext_20265	Subscribe to the Myntra newsletter for 20% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20266	Subscribe to the Google Drive newsletter for 25% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20267	Enjoying the free version? Upgrade to Meesho Premium today. [Upgrade] [Remind Me Later]	1	Nagging
ext_20268	Subscribe to the Paytm Money newsletter for 20% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20269	Subscribe to the AJIO newsletter for 10% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20270	Subscribe to the BigBasket newsletter for 10% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20271	Rate Amazon Prime Video 5 stars to keep the app free. [Not now] [Rate Now]	1	Nagging
ext_20272	Subscribe to the Croma newsletter for 5% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20273	Subscribe to the JioGames newsletter for 20% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20274	Subscribe to the IndiaMART newsletter for 15% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20275	Subscribe to the Meesho newsletter for 20% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20276	Still thinking about that sunglasses? Get reminders before it sells out. [No] [Notify Me]	1	Nagging
ext_20277	Join Amazon Rewards now and start earning points instantly. [Later] [Join]	1	Nagging
ext_20278	Subscribe to the BigBasket newsletter for 25% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20279	Subscribe to the Fitbit newsletter for 5% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20280	Add Myntra to your home screen for one-tap checkout. [Dismiss] [Add Now]	1	Nagging
ext_20281	Subscribe to the Myntra newsletter for 10% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20282	Subscribe to the Amazon newsletter for 10% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20283	Get the best experience — download the AJIO app! [No, thanks] [Get App]	1	Nagging
ext_20284	Subscribe to the Fitbit newsletter for 25% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20285	Subscribe to the Google Drive newsletter for 5% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20286	Subscribe to the Snapdeal newsletter for 20% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20287	Subscribe to the Tata CLiQ newsletter for 10% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20288	Subscribe to the Google Drive newsletter for 15% off your first order? [Not now] [Subscribe]	1	Nagging
ext_20289	Subscribe to the BigBasket newsletter for 20% off your first order? [Not now] [Subscribe]	1	Nagging
