page_id	text	label	Pattern Category
1489	E-Gift Cards	0	Not a Dark Pattern
1168	1 LEFT	1	False Urgency
252	Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring	1	Disguised Advertisement
680	Personalised Chocolates	0	Not a Dark Pattern
1536	Shop Dresses by Occasion	0	Not a Dark Pattern
344	I do not want to protect my item	1	Interface Interference
1713	Add to Your Gift and We'll Ship it For Free!	1	Interface Interference
1604	Wallets	0	Not a Dark Pattern
1489	Exclusive offers & discounts for club members via email	0	Not a Dark Pattern
1056	Buy with humm.	0	Not a Dark Pattern
1351	Household Cleaning Kitchen Bathroom Eco Laundry General Cleaning Kitchenware Cook & Bakeware Food Storage & Preservation Kitchen Textiles Appliances Kitchen Appliances Household Appliances Bed, Bath & Living	0	Not a Dark Pattern
1009	Synthesis E-MTB Carbon Wheelset	0	Not a Dark Pattern
84	25,439 people have viewed this item	1	Disguised Advertisement
379	No thanks I definitely measured correctly	1	Confirm Shaming
181	57 PEOPLE HAVE LOOKED AT THIS TODAY	1	Disguised Advertisement
65	Theresa from Botkins just bought Panoply 14918 A-line Lace Formal Dress	1	Disguised Advertisement
1009	Women's ApparelCollection	0	Not a Dark Pattern
1718	Before you check out, can we tempt you?	1	Trick Question
1328	Women's Sandals	0	Not a Dark Pattern
1351	Plant-Based Beauty	0	Not a Dark Pattern
904	When you join the PetPlus Plan, you are given the option to purchase your membership on an annual or monthly basis and you are automatically enrolled in our recurring billing program. You may cancel at any time by contacting our customer service team, but you will not be refunded for any unused days on your membership if you choose to cancel prior to the end of your billing cycle. You may cancel your PetPlus membership at any time without penalty if you have not utilized any of your PetPlus benefits (including discounts on products and/or services). For customers charged on a monthly basis, if you have purchased products or used services using your PetPlus benefits, we will charge a $25 administrative fee per membership cancellation if the membership is cancelled within three months of enrollment.	1	Subscription Trap
189	Frame out of stock in this colour	0	Not a Dark Pattern
1469	Hair Care Sets	0	Not a Dark Pattern
1332	Limited quantity remaining	1	False Urgency
1000	CareersAbout UsAffiliatesPrivacy SettingsAdvertise with usHelpSite map	0	Not a Dark Pattern
1686	128 sold today! Hurry, only a few left!	1	False Urgency
303	4 people are looking at this right now.	1	Disguised Advertisement
335	No thanks, I dont want a discount	1	Confirm Shaming
235	Someone from Portland, United States (US) purchased MODALERT recently.	1	Disguised Advertisement
1042	Limited Time Offer Limited Offer! 15% off on Naomi Home with Coupon 9N03. You pay $63.74	1	False Urgency
151	2 people are viewing this	1	Disguised Advertisement
1605	HURRY! ONLY 1 IN STOCK!	1	False Urgency
1304	Printed	0	Not a Dark Pattern
1044	Patient Transfer Devices	0	Not a Dark Pattern
622	Summer Casual Printed Loosen Short Sleeve T-Shirt	0	Not a Dark Pattern
622	Summer V Neck Solid Color Short Sleeve Waffle T-Shirt	0	Not a Dark Pattern
1681	LAST CHANCE TO ACTIVATE 10% OFF	1	False Urgency
485	Your order is reserved for 09:45 minutes!	1	False Urgency
43	78 Persons looking for this product	1	Disguised Advertisement
680	Heart Shaped Cake	0	Not a Dark Pattern
259	227 Bought Already	1	Disguised Advertisement
1026	You've made the starting lineup. Be on the look out for an exclusive offer for signing up.	0	Not a Dark Pattern
766	Universal Fit Collapsible Smart Phone Stand	0	Not a Dark Pattern
1368	Hurry! Only Limited Items Left	1	False Urgency
1646	現代奴隷法に対する透明性に関する声明 (opens in a new tab)	0	Not a Dark Pattern
941	Strong demand! Complete your order before it's too late!	1	False Urgency
550	Your order is reserved for 09:56 minutes!	1	False Urgency
48	Sudha rana from Jaipur bought this product, 23 Mins ago.	1	Disguised Advertisement
1466	Gift Wrapping Supplies	0	Not a Dark Pattern
308	6 others have already bought this deal today!	1	Disguised Advertisement
896	"""No Worry"" Membership Renewal We will bill your credit card on file at the introductory rate of $2.99 per month for the first year, for membership rewards and discounts. At the end of the introductory period, you'll be billed at the regular monthly rate of $3.99 per month. If you don't want your membership renewed, simply contact us and we will cancel your subscription. You will be refunded for the current month's membership fee, less any membership savings you have received. Exclusive Toll-Free Hotline Number Because we want your calls to get top priority, we have a special number for Value Club members only: 1-800-648-4282. Your call will be handled with the utmost promptness, courtesy and efficiency possible."	1	Subscription Trap
1779	info@coolhockey.com	0	Not a Dark Pattern
1004	"LIMITED TIME OFFER 10% OFF - ENTER CODE \""CASES\"" AT CHECKOUT"	1	False Urgency
724	Safe & Secure Checkout	0	Not a Dark Pattern
250	GRACE from ORLANDO, United States bought Camouflage Jumpsuit 31 minutes ago	1	Disguised Advertisement
142	Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago	1	Disguised Advertisement
1469	Wall Mounted Air Conditioners	0	Not a Dark Pattern
1691	803 Claimed! Hurry, only a few left!	1	False Urgency
64	Monira in Doha, Qatar purchased a LilyVanity™ Velvet Box	1	Disguised Advertisement
1186	Only 2 left!	1	False Urgency
141	3 PEOPLE VIEWING	1	Disguised Advertisement
360	No thanks, I’d rather pay full price.	1	Confirm Shaming
1304	Product Feature	0	Not a Dark Pattern
883	Plant-based Protein	0	Not a Dark Pattern
1317	Parad Combo Deals	0	Not a Dark Pattern
198	Last Shape Guide	0	Not a Dark Pattern
1315	Baby & Toddler Toys	0	Not a Dark Pattern
1766	Shipping Insurance Remove Insurance	1	Basket Sneaking
680	Clocks	0	Not a Dark Pattern
1317	Cat's Eye Beads	0	Not a Dark Pattern
264	Shop now. Pay later. Always interest-free	0	Not a Dark Pattern
1381	Stay with us in India	0	Not a Dark Pattern
443	No thanks. I don’t want deals.	1	Confirm Shaming
776	Wyse Thin Client	0	Not a Dark Pattern
1038	AdjustableBucketHeadbandsSale Items- View All -	0	Not a Dark Pattern
648	Every bicycle tells a story	0	Not a Dark Pattern
1658	This site uses cookies to provide and improve your shopping experience. If you want to benefit from this improved service, please opt-in.	0	Not a Dark Pattern
1717	Add and save!	1	Interface Interference
1469	Intercoms & Doorbells	0	Not a Dark Pattern
1536	Boys Purple School Uniforms	0	Not a Dark Pattern
212	RECENTLY VIEWED 2 others viewed this in the last few hours	1	Disguised Advertisement
179	2 viewed per hour	1	Disguised Advertisement
133	1 other customers have this item in their shopping cart	1	Disguised Advertisement
1408	ONLY A FEW LEFT IN STOCK	1	False Urgency
646	1day21:04:58	1	False Urgency
1330	Fashion Forms	0	Not a Dark Pattern
1348	Stock Low : 6 items left.	1	False Urgency
374	NO, I'LL PAY FULL PRICE	1	Trick Question
1550	Terrarium Light Canopies	0	Not a Dark Pattern
1533	HURRY, LOW IN STOCK!	1	False Urgency
1144	Only 4 copies left	1	False Urgency
1424	2 LEFT	1	False Urgency
209	Feedback	0	Not a Dark Pattern
605	2 DAYS 13:06:13	1	False Urgency
1009	Receive news and updates on new products	0	Not a Dark Pattern
162	5338 people bought this	1	Disguised Advertisement
1103	2 left in stock	1	False Urgency
1316	dFresh - Fresh Products	0	Not a Dark Pattern
1815	Thanks! -RMO Team	0	Not a Dark Pattern
99	6,743 people have viewed recently	1	Disguised Advertisement
932	Selling fast!	1	False Urgency
203	Welcome To Hotter us	0	Not a Dark Pattern
1039	ON SALE: Select Seasonal T-Shirts only $19.99! Limited time only! Save Now!	1	False Urgency
782	To enable notifications, click 'Allow' when prompted.	0	Not a Dark Pattern
1026	PHX Mercury	0	Not a Dark Pattern
1009	Easy Release Cleat Kit	0	Not a Dark Pattern
56	111 people have purchased this item	1	Disguised Advertisement
1723	Flowers Trivia:	0	Not a Dark Pattern
675	Your order is reserved for 09:58 minutes!	1	False Urgency
1667	I've recommended The Keeper of Lost Things to everyone.	0	Not a Dark Pattern
1027	LIMITED TIME! - Save $5 OFF Orders $70+ Coupon: SAVE5 - PLUS - Free Gift on Orders $125+	1	False Urgency
930	1 Netflix offer: Not available to customers with an active Netflix offer from Vodafone. Available only on Red+ Lite, Unlimited, Red+ Essentials and Red+ until the 8th of August 2019. Exit fee of $60 applies if you exit or transfer your plan before 6 months. Plan exit fees may also apply. Netflix Offer: One year Netflix ‘Standard’ plan ($14.99 a month) credit will be applied to your Netflix account on activation. At the end of your credit, you will be charged at your Netflix plan rate unless you cancel your Netflix subscription. Cancel Netflix at any time. Netflix compatible device required. See eligible plans and full Netflix terms.	1	Drip Pricing
573	Celebrity Synthetic Wigs	0	Not a Dark Pattern
73	1626 people seeing this product right now	1	Disguised Advertisement
1667	Book picture is for illustrative purposes only, actual binding, cover or edition may vary.	0	Not a Dark Pattern
1673	Converse	0	Not a Dark Pattern
188	Stay Connected	0	Not a Dark Pattern
1451	sales@ecklers.net	0	Not a Dark Pattern
520	0 Days 2 Hours 57 Minutes 53 Seconds	1	False Urgency
3	Sharmeen Atif From Karachi just bought Stylish Metal Glasses Frames For Kids-Assorted-NA7157	1	Disguised Advertisement
1189	Only 34 Left!	1	False Urgency
105	William in Pago Pago, United States purchased a	1	Disguised Advertisement
361	No thanks, I don’t like fun and games.	1	Confirm Shaming
1704	PROTECT YOUR SOFA! Your Humblebum Sofa in Thatch house fabric will look wicked! Why not add Castelan Fabric Protection to cover your new squish machine against wine spillages, messy TV dinners, and other disasters for just just £80?	1	Trick Question
1488	Explore The NRA Universe Of Websites	0	Not a Dark Pattern
667	New In Special Occasion	0	Not a Dark Pattern
664	› New Year, New Kit Sale	0	Not a Dark Pattern
793	HURRY, ORDER WITHIN 16h 59m 06s TO GET 35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: DOLL35	1	False Urgency
108	Title of Review	0	Not a Dark Pattern
622	We uses cookies (and similar techniques) to provide you with better products and services. Your permission will be confirmed if you continue using this website.Read more	0	Not a Dark Pattern
795	LAST CHANCE TO SAVE... enter your email to Save 20% on your first order 00 hours :29 minutes :43 seconds	1	False Urgency
654	OFFER EXPIRES IN: YES NO Want 10% Off Your First Order? 7 minutes 35 seconds	1	False Urgency
628	Cellular/Honeycomb Shades	0	Not a Dark Pattern
232	113 people have viewed in the last 24hrs	1	Disguised Advertisement
4	Epilepsy Safe Profile: this profile enables people with epilepsy to safely use the website by eliminating the risk of seizures resulting from flashing or blinking animations and risky color combinations.	0	Not a Dark Pattern
66	Jamie in Nashville, United States purchased	1	Disguised Advertisement
163	Denise in Saluda, Virginia bought Terani Couture - 1911E9095 Embroidered Asymmetric Neck Mermaid Gown	1	Disguised Advertisement
203	Don't miss out! We've sold 38 in the last few days.	1	Disguised Advertisement
355	No, thank you. I prefer to pay the full price	1	Confirm Shaming
420	No Thanks, I don't like exclusive deals.	1	Confirm Shaming
1522	Loading interface...	0	Not a Dark Pattern
1026	SAF Warriors	0	Not a Dark Pattern
113	Lens Manual Washer	0	Not a Dark Pattern
322	No thanks, I'd like 0% off	1	Confirm Shaming
573	Warm Tips	0	Not a Dark Pattern
1328	Our Carbon Footprint	0	Not a Dark Pattern
622	Women's Summer New Clerk Large Size Loose Cotton And Linen Blouse	0	Not a Dark Pattern
1786	Uncheck the box if you prefer not to receive email updates.	1	Trick Question
1343	| Add to Compare	0	Not a Dark Pattern
407	No Thanks, I Don't Want a Free Gift	1	Confirm Shaming
682	World of Sweats	0	Not a Dark Pattern
953	This item is in high demand.	1	False Urgency
300	Cargo Trousers	0	Not a Dark Pattern
573	Hair Bundles With Closure	0	Not a Dark Pattern
1648	BreakThrough	0	Not a Dark Pattern
1084	ONLY 1 LEFT! GET IT NOW!	1	False Urgency
156	Our most recent customers are from New Rochelle, Roseville, and Brooksville	1	Disguised Advertisement
638	ShopClose menu	0	Not a Dark Pattern
822	Used Rifles	0	Not a Dark Pattern
1379	ONLY 4 LEFT	1	False Urgency
1338	Limited quantity!	1	False Urgency
1711	DON'T MISS ON THESE AWESOME ITEMS / DON'T MISS ON OUR TABLE DECORATION SYSTEM	1	Interface Interference
1325	Hurry! Only 15 left!	1	False Urgency
713	Motocross Boots	0	Not a Dark Pattern
1328	Remove Product?	0	Not a Dark Pattern
1315	Nursery	0	Not a Dark Pattern
822	Footwear Accessories	0	Not a Dark Pattern
1429	Only a few more left!	1	False Urgency
592	0011Days:0088Hours:4411Minutes:21125445Seconds	1	False Urgency
103	and future features included!	0	Not a Dark Pattern
167	69 people are viewing this	1	Disguised Advertisement
1415	Only 4 items left in stock.	1	False Urgency
1550	Natural Backgrounds	0	Not a Dark Pattern
1009	Speed Lace Accessory Kit - Orange	0	Not a Dark Pattern
389	No Thanks, I Prefer Paying Full Price	1	Confirm Shaming
1658	Package RecyclingWe do try when possible to reuse packaging from our own suppliers in order to send purchased items to our customers, we ask if the packaging is still in good condition after you've received your goods then please try to use it again or recycle if not possible.	0	Not a Dark Pattern
817	Ends in 1 Days, 4 Minutes, 44 Seconds	1	False Urgency
1451	In Stock - Limited Quantity	1	False Urgency
128	on Freight	0	Not a Dark Pattern
527	Canvas Wall Art	0	Not a Dark Pattern
1524	Only 8 left in stock. Almost Gone!	1	False Urgency
719	JFN V Neck Lace Cut-Out Basic T-Shirt/Tee	0	Not a Dark Pattern
1197	Short Sleeve Dresses	0	Not a Dark Pattern
1059	Limited time only: FREE SHIPPING on all orders, no minimum required!	1	False Urgency
387	No thanks, I don't like promotions and exclusive content.	1	Confirm Shaming
724	Shop All Lehenga Choli	0	Not a Dark Pattern
1330	Lack Of Color	0	Not a Dark Pattern
61	Eye Protection	0	Not a Dark Pattern
1472	10 Left	1	False Urgency
1468	REPLACE-WITH-DYANMIC-HOST-ID	0	Not a Dark Pattern
209	TVs	0	Not a Dark Pattern
1428	Temporary Tattoos	0	Not a Dark Pattern
674	3Days01:49:51 Left	1	False Urgency
190	Log in / Create an account	0	Not a Dark Pattern
758	Your order is reserved for 07:28 minutes!	1	False Urgency
1667	is full of sorrow and joy that weaves the life stories of its characters, exploring relationships, illness and loss * Manchester Weekly News *	0	Not a Dark Pattern
208	OH SO POPULAR! 21 bought in the last 7 days.	1	Disguised Advertisement
1268	Card Storage	0	Not a Dark Pattern
288	2 customers recently bought it	1	Disguised Advertisement
1009	Horizon Wide Neck Sweatshirt	0	Not a Dark Pattern
1536	All Womens Accessories	0	Not a Dark Pattern
1166	Only 1 left in stock! Get in quick!	1	False Urgency
1648	Strip Softbox	0	Not a Dark Pattern
720	You left 2 items in your bag Released in: 29 minutes :07 seconds	1	False Urgency
1056	Your first payment will be due on the day of your purchase.*	0	Not a Dark Pattern
58	7 people have it in their cart	1	Disguised Advertisement
1119	Pre-order 3 left	1	False Urgency
673	Offer ends in 15hrs 1min 56sec!	1	False Urgency
974	Hurry, this style is selling fast!	1	False Urgency
1736	Glows In The Dark	0	Not a Dark Pattern
1469	Towel Rails & Racks	0	Not a Dark Pattern
568	When you place healing crystals in a symmetrical fashion and activate it with a crystal wand, the pattern is charged to send messages to the universe. A healing crystal grid uses sophisticated symmetry for manifestation.	0	Not a Dark Pattern
1104	Hurry, only 3 left!	1	False Urgency
538	FREE NECKLACE FOR MOM 01Days 01Hrs 35Mins 02Secs	1	False Urgency
1648	Quick Release	0	Not a Dark Pattern
976	Blonde/Bleached Hair: All colors look great. Silver won't be prominent on bleached hair though.	0	Not a Dark Pattern
1064	Free Upgrade, Limited Time!\n*DISH Install Not Available*	1	False Urgency
103	Chatting	0	Not a Dark Pattern
822	Specialist Tools	0	Not a Dark Pattern
822	Menu Search	0	Not a Dark Pattern
